genome	gene_families_present
GCF_000007505.1	141
GCF_000011805.1	186
GCF_000011825.1	97
GCF_000013765.1	181
GCF_000014705.1	183
GCF_000014885.1	177
GCF_000015245.1	184
GCF_000016065.1	185
GCF_000018025.1	184
GCF_000018285.1	184
GCF_000019185.1	185
GCF_000019525.1	184
GCF_000019905.1	113
GCF_000023285.1	90
GCF_000024005.1	97
GCF_000024825.1	189
GCF_000025985.1	93
GCF_000091325.1	180
GCF_000092285.1	132
GCF_000146165.2	182
GCF_000158275.2	93
GCF_000163915.2	94
GCF_000184325.1	177
GCF_000186225.1	88
GCF_000187005.1	100
GCF_000195335.1	98
GCF_000196435.1	132
GCF_000212375.1	78
GCF_000238215.1	80
GCF_000253015.1	126
GCF_000299435.1	112
GCF_000341355.1	131
GCF_000347695.1	77
GCF_000354175.2	189
GCF_000706765.1	72
GCF_000737865.1	72
GCF_000772105.1	191
GCF_000801275.2	189
GCF_000981525.1	97
GCF_001025135.1	80
GCF_001025155.1	76
GCF_001025175.1	76
GCF_001025195.1	75
GCF_001025215.1	75
GCF_001042595.1	78
GCF_001042635.1	78
GCF_001042655.1	69
GCF_001263395.1	67
GCF_001310575.2	189
GCF_001399775.1	98
GCF_001414055.1	137
GCF_001482365.1	82
GCF_001535545.1	72
GCF_001543105.1	89
GCF_001543145.1	100
GCF_001543175.1	92
GCF_001543205.1	96
GCF_001543245.1	94
GCF_001558415.2	189
GCF_001558475.2	189
GCF_001558495.2	190
GCF_001559035.2	129
GCF_001688725.2	91
GCF_002005305.1	183
GCF_002007565.1	134
GCF_002075795.1	182
GCF_002078375.4	94
GCF_002119525.1	190
GCF_002157735.2	188
GCF_002163755.1	189
GCF_002208825.2	131
GCF_002209445.1	90
GCF_002216685.1	185
GCF_002216875.1	183
GCF_002218025.2	185
GCF_002218045.2	185
GCF_002222615.2	93
GCF_002224265.1	188
GCF_002250745.2	82
GCF_002257545.1	187
GCF_002291265.1	188
GCF_002302415.1	91
GCF_002302475.1	93
GCF_002302635.1	96
GCF_002310375.3	137
GCF_002355595.1	90
GCF_002557795.1	93
GCF_002715865.1	72
GCF_002749615.1	138
GCF_002761235.1	73
GCF_002884955.3	92
GCF_002887615.1	191
GCF_002906655.1	190
GCF_002998435.1	86
GCF_002998535.1	89
GCF_003019315.1	93
GCF_003019695.1	91
GCF_003019755.1	93
GCF_003286875.3	89
GCF_003363675.2	91
GCF_003606325.2	132
GCF_003606345.3	132
GCF_003627095.1	91
GCF_003722335.1	137
GCF_003726935.1	190
GCF_003855395.1	181
GCF_004295345.1	182
GCF_004358345.1	175
GCF_004684245.1	97
GCF_006385555.1	181
GCF_006494755.1	185
GCF_006739545.1	88
GCF_006770265.1	97
GCF_006770285.1	97
GCF_006965445.1	86
GCF_007004545.3	185
GCF_007197555.1	174
GCF_007567505.1	179
GCF_007923045.3	185
GCF_008726475.3	91
GCF_009193295.2	93
GCF_009193325.2	88
GCF_009363415.1	188
GCF_009601765.2	186
GCF_009763885.1	185
GCF_009938185.1	182
GCF_009938205.1	191
GCF_009938225.1	189
GCF_010093065.1	97
GCF_010587385.1	185
GCF_010977555.1	139
GCF_011064285.1	188
GCF_011765625.1	178
GCF_012113595.1	92
GCF_012516375.2	99
GCF_013267415.1	97
GCF_013388295.1	132
GCF_014131755.1	92
GCF_014217215.1	84
GCF_014337255.1	92
GCF_014705925.2	84
GCF_014705945.2	82
GCF_014879975.1	191
GCF_014898155.1	74
GCF_014898175.1	75
GCF_014898195.1	79
GCF_015767675.1	191
GCF_016406325.1	184
GCF_016834455.1	185
GCF_017068355.1	92
GCF_017309675.2	91
GCF_017354945.1	180
GCF_017354965.1	184
GCF_017354985.1	184
GCF_018138125.1	117
GCF_018223345.1	181
GCF_018394335.1	142
GCF_019226825.1	182
GCF_019339365.1	170
GCF_019457475.1	181
GCF_019457495.1	185
GCF_019457515.1	185
GCF_019457535.1	185
GCF_019457555.1	185
GCF_019457575.1	185
GCF_019457595.1	185
GCF_019457615.1	185
GCF_019457635.1	183
GCF_019457655.1	185
GCF_019551945.1	95
GCF_019670525.1	185
GCF_019670705.1	186
GCF_019930665.1	90
GCF_019931735.1	182
GCF_019973715.1	101
GCF_019977835.1	188
GCF_020097375.1	80
GCF_020386615.1	97
GCF_020511155.1	183
GCF_021441885.1	189
GCF_021560015.1	159
GCF_021560505.1	132
GCF_022343725.1	112
GCF_022430525.1	99
GCF_022559585.1	131
GCF_022760175.1	98
GCF_022808015.1	114
GCF_022845615.1	81
GCF_022846375.1	99
GCF_022867795.2	97
GCF_023100805.1	97
GCF_023195835.1	187
GCF_023744375.2	88
GCF_023920105.1	134
GCF_024205945.1	111
GCF_024205965.1	113
GCF_024297065.1	132
GCF_024346755.1	188
GCF_024346795.1	188
GCF_024346835.1	187
GCF_024346875.1	187
GCF_024346935.1	187
GCF_024346955.1	187
GCF_024346975.1	186
GCF_024346995.1	183
GCF_024347015.1	187
GCF_024347035.1	188
GCF_024347055.1	189
GCF_024347075.1	187
GCF_024347095.1	188
GCF_024347115.1	187
GCF_024347135.1	188
GCF_024347155.1	182
GCF_024347295.1	189
GCF_024347315.1	190
GCF_024347335.1	190
GCF_024347355.1	190
GCF_024347375.1	190
GCF_024347395.1	188
GCF_024347415.1	190
GCF_024347435.1	190
GCF_024347455.1	190
GCF_024347475.1	190
GCF_024347495.1	190
GCF_024347515.1	191
GCF_024347535.1	190
GCF_024347555.1	188
GCF_024347575.1	190
GCF_024347595.1	190
GCF_024347615.1	190
GCF_024347635.1	191
GCF_024347655.1	190
GCF_024347675.1	188
GCF_024582835.1	188
GCF_024759285.1	87
GCF_024760225.1	92
GCF_025146565.1	90
GCF_025146775.1	92
GCF_025147325.1	90
GCF_025151045.1	87
GCF_025151215.1	87
GCF_025263845.1	91
GCF_025449215.1	158
GCF_026001925.1	188
GCF_028335125.1	81
GCF_028472205.1	96
GCF_028747625.1	116
GCF_029023765.1	97
GCF_029023865.1	95
GCF_029026745.1	116
GCF_029541605.1	191
GCF_029635775.1	181
GCF_029850785.1	80
GCF_030252245.1	181
GCF_030297155.1	190
GCF_030376725.1	111
GCF_030580635.1	189
GCF_030758755.1	117
GCF_031172035.1	89
GCF_033042815.2	92
GCF_033180165.1	181
GCF_034428235.1	191
GCF_034479145.1	96
GCF_035621455.1	189
GCF_036320655.1	83
GCF_036326985.1	184
GCF_036416795.1	91
GCF_036866455.1	185
GCF_037889075.1	95
GCF_037889295.1	92
GCF_037889355.1	94
GCF_037900625.1	95
GCF_038095555.1	115
GCF_038396755.1	94
GCF_038452265.1	189
GCF_038695265.1	189
GCF_039545795.1	96
GCF_039555305.1	131
GCF_039830185.1	74
GCF_040365225.1	88
GCF_040412085.2	187
GCF_040588515.1	188
GCF_040735825.1	189
GCF_041080795.1	76
GCF_041080835.1	76
GCF_041734475.1	88
GCF_041860215.1	188
GCF_042245395.1	187
GCF_042852775.1	89
GCF_043187445.1	95
GCF_044361425.1	91
GCF_044582825.1	131
GCF_044794345.1	113
GCF_044809045.1	118
GCF_045277155.1	134
GCF_045586155.1	190
GCF_045689655.1	87
GCF_045820715.1	190
GCF_046245125.1	134
GCF_046529615.1	113
GCF_047221435.1	97
GCF_047275845.1	100
GCF_047426735.1	114
GCF_047427755.1	113
GCF_047549585.1	191
GCF_047758695.1	184
GCF_047782715.1	87
GCF_048319815.1	88
GCF_048320125.1	180
GCF_048396385.1	91
GCF_048401725.1	118
GCF_048595595.1	84
GCF_048832845.1	185
GCF_049354735.1	80
GCF_049563345.1	189
GCF_049990865.1	78
GCF_050711855.1	95
GCF_050870795.1	186
GCF_051016095.1	128
GCF_051175305.1	187
GCF_051352415.1	189
GCF_052076115.1	191
GCF_052161805.1	79
GCF_052232265.1	84
GCF_900187075.1	113
GCF_900187255.1	91
GCF_900475345.1	130
GCF_900476255.1	80
GCF_900476435.1	183
GCF_900478315.1	98
GCF_900538065.1	187
GCF_900636855.1	184
GCF_900637705.1	90
GCF_900637835.1	82
GCF_900637985.1	79
GCF_900638085.1	80
GCF_900638125.1	90
GCF_900638305.1	83
GCF_900638435.1	94
GCF_900638535.1	61
GCF_900638615.1	130
GCF_900638635.1	134
GCF_963360665.1	90
GCF_965119615.1	93
